field_slug                    , field_name                      , occupation_code, occupation_title                                                                                    , score, keywords                                                                                                                                                                                                                                                               , sample_programs
agriculture-agribusiness      , Agriculture & Agribusiness      , 25-9021.00     , Farm and Home Management Educators                                                                  , 5.000, agribusiness agricultural extension agriculture horticulture food development biotechnology dry land enterprise nutrition human ecology agroforestry rural agronomy sugar agro processing                                                                              , "BACHELOR OF AGRICULTURAL EDUCATION & EXTENSION | BACHELOR OF SCIENCE (AGRICULTURE) | BACHELOR OF SCIENCE (HORTICULTURE, WITH IT) | BACHELOR OF SCIENCE (FOOD SCIENCE & TECHNOLOGY) | BACHELOR OF SCIENCE (AGRICULTURAL EXTENSION EDUCATION) | BACHELOR OF SCIENCE (AGRICULTURAL BIOTECHNOLOGY) | BACHELOR OF SCIENCE (DRY LAND, AGRICULTURE & ENTERPRISE DEVELOPMENT) | BACHELOR OF EDUCATION (AGRICULTURAL EDUCATION) | BACHELOR OF SCIENCE (FOOD SCIENCE & NUTRITION) | BACHELOR OF SCIENCE (AGRICULTURAL EDUCATION AND EXTENSION)"
agriculture-agribusiness      , Agriculture & Agribusiness      , 19-1012.00     , Food Scientists and Technologists                                                                   , 3.000, agribusiness agricultural extension agriculture horticulture food development biotechnology dry land enterprise nutrition human ecology agroforestry rural agronomy sugar agro processing                                                                              , "BACHELOR OF AGRICULTURAL EDUCATION & EXTENSION | BACHELOR OF SCIENCE (AGRICULTURE) | BACHELOR OF SCIENCE (HORTICULTURE, WITH IT) | BACHELOR OF SCIENCE (FOOD SCIENCE & TECHNOLOGY) | BACHELOR OF SCIENCE (AGRICULTURAL EXTENSION EDUCATION) | BACHELOR OF SCIENCE (AGRICULTURAL BIOTECHNOLOGY) | BACHELOR OF SCIENCE (DRY LAND, AGRICULTURE & ENTERPRISE DEVELOPMENT) | BACHELOR OF EDUCATION (AGRICULTURAL EDUCATION) | BACHELOR OF SCIENCE (FOOD SCIENCE & NUTRITION) | BACHELOR OF SCIENCE (AGRICULTURAL EDUCATION AND EXTENSION)"
agriculture-agribusiness      , Agriculture & Agribusiness      , 19-4013.00     , Food Science Technicians                                                                            , 3.000, agribusiness agricultural extension agriculture horticulture food development biotechnology dry land enterprise nutrition human ecology agroforestry rural agronomy sugar agro processing                                                                              , "BACHELOR OF AGRICULTURAL EDUCATION & EXTENSION | BACHELOR OF SCIENCE (AGRICULTURE) | BACHELOR OF SCIENCE (HORTICULTURE, WITH IT) | BACHELOR OF SCIENCE (FOOD SCIENCE & TECHNOLOGY) | BACHELOR OF SCIENCE (AGRICULTURAL EXTENSION EDUCATION) | BACHELOR OF SCIENCE (AGRICULTURAL BIOTECHNOLOGY) | BACHELOR OF SCIENCE (DRY LAND, AGRICULTURE & ENTERPRISE DEVELOPMENT) | BACHELOR OF EDUCATION (AGRICULTURAL EDUCATION) | BACHELOR OF SCIENCE (FOOD SCIENCE & NUTRITION) | BACHELOR OF SCIENCE (AGRICULTURAL EDUCATION AND EXTENSION)"
agriculture-agribusiness      , Agriculture & Agribusiness      , 25-1041.00     , "Agricultural Sciences Teachers, Postsecondary"                                                     , 3.000, agribusiness agricultural extension agriculture horticulture food development biotechnology dry land enterprise nutrition human ecology agroforestry rural agronomy sugar agro processing                                                                              , "BACHELOR OF AGRICULTURAL EDUCATION & EXTENSION | BACHELOR OF SCIENCE (AGRICULTURE) | BACHELOR OF SCIENCE (HORTICULTURE, WITH IT) | BACHELOR OF SCIENCE (FOOD SCIENCE & TECHNOLOGY) | BACHELOR OF SCIENCE (AGRICULTURAL EXTENSION EDUCATION) | BACHELOR OF SCIENCE (AGRICULTURAL BIOTECHNOLOGY) | BACHELOR OF SCIENCE (DRY LAND, AGRICULTURE & ENTERPRISE DEVELOPMENT) | BACHELOR OF EDUCATION (AGRICULTURAL EDUCATION) | BACHELOR OF SCIENCE (FOOD SCIENCE & NUTRITION) | BACHELOR OF SCIENCE (AGRICULTURAL EDUCATION AND EXTENSION)"
agriculture-agribusiness      , Agriculture & Agribusiness      , 51-9051.00     , "Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders"                                      , 3.000, agribusiness agricultural extension agriculture horticulture food development biotechnology dry land enterprise nutrition human ecology agroforestry rural agronomy sugar agro processing                                                                              , "BACHELOR OF AGRICULTURAL EDUCATION & EXTENSION | BACHELOR OF SCIENCE (AGRICULTURE) | BACHELOR OF SCIENCE (HORTICULTURE, WITH IT) | BACHELOR OF SCIENCE (FOOD SCIENCE & TECHNOLOGY) | BACHELOR OF SCIENCE (AGRICULTURAL EXTENSION EDUCATION) | BACHELOR OF SCIENCE (AGRICULTURAL BIOTECHNOLOGY) | BACHELOR OF SCIENCE (DRY LAND, AGRICULTURE & ENTERPRISE DEVELOPMENT) | BACHELOR OF EDUCATION (AGRICULTURAL EDUCATION) | BACHELOR OF SCIENCE (FOOD SCIENCE & NUTRITION) | BACHELOR OF SCIENCE (AGRICULTURAL EDUCATION AND EXTENSION)"
agriculture-agribusiness      , Agriculture & Agribusiness      , 15-2099.01     , Bioinformatics Technicians                                                                          , 2.000, agribusiness agricultural extension agriculture horticulture food development biotechnology dry land enterprise nutrition human ecology agroforestry rural agronomy sugar agro processing                                                                              , "BACHELOR OF AGRICULTURAL EDUCATION & EXTENSION | BACHELOR OF SCIENCE (AGRICULTURE) | BACHELOR OF SCIENCE (HORTICULTURE, WITH IT) | BACHELOR OF SCIENCE (FOOD SCIENCE & TECHNOLOGY) | BACHELOR OF SCIENCE (AGRICULTURAL EXTENSION EDUCATION) | BACHELOR OF SCIENCE (AGRICULTURAL BIOTECHNOLOGY) | BACHELOR OF SCIENCE (DRY LAND, AGRICULTURE & ENTERPRISE DEVELOPMENT) | BACHELOR OF EDUCATION (AGRICULTURAL EDUCATION) | BACHELOR OF SCIENCE (FOOD SCIENCE & NUTRITION) | BACHELOR OF SCIENCE (AGRICULTURAL EDUCATION AND EXTENSION)"
agriculture-agribusiness      , Agriculture & Agribusiness      , 17-2021.00     , Agricultural Engineers                                                                              , 2.000, agribusiness agricultural extension agriculture horticulture food development biotechnology dry land enterprise nutrition human ecology agroforestry rural agronomy sugar agro processing                                                                              , "BACHELOR OF AGRICULTURAL EDUCATION & EXTENSION | BACHELOR OF SCIENCE (AGRICULTURE) | BACHELOR OF SCIENCE (HORTICULTURE, WITH IT) | BACHELOR OF SCIENCE (FOOD SCIENCE & TECHNOLOGY) | BACHELOR OF SCIENCE (AGRICULTURAL EXTENSION EDUCATION) | BACHELOR OF SCIENCE (AGRICULTURAL BIOTECHNOLOGY) | BACHELOR OF SCIENCE (DRY LAND, AGRICULTURE & ENTERPRISE DEVELOPMENT) | BACHELOR OF EDUCATION (AGRICULTURAL EDUCATION) | BACHELOR OF SCIENCE (FOOD SCIENCE & NUTRITION) | BACHELOR OF SCIENCE (AGRICULTURAL EDUCATION AND EXTENSION)"
agriculture-agribusiness      , Agriculture & Agribusiness      , 17-2031.00     , Bioengineers and Biomedical Engineers                                                               , 2.000, agribusiness agricultural extension agriculture horticulture food development biotechnology dry land enterprise nutrition human ecology agroforestry rural agronomy sugar agro processing                                                                              , "BACHELOR OF AGRICULTURAL EDUCATION & EXTENSION | BACHELOR OF SCIENCE (AGRICULTURE) | BACHELOR OF SCIENCE (HORTICULTURE, WITH IT) | BACHELOR OF SCIENCE (FOOD SCIENCE & TECHNOLOGY) | BACHELOR OF SCIENCE (AGRICULTURAL EXTENSION EDUCATION) | BACHELOR OF SCIENCE (AGRICULTURAL BIOTECHNOLOGY) | BACHELOR OF SCIENCE (DRY LAND, AGRICULTURE & ENTERPRISE DEVELOPMENT) | BACHELOR OF EDUCATION (AGRICULTURAL EDUCATION) | BACHELOR OF SCIENCE (FOOD SCIENCE & NUTRITION) | BACHELOR OF SCIENCE (AGRICULTURAL EDUCATION AND EXTENSION)"
agriculture-agribusiness      , Agriculture & Agribusiness      , 17-2151.00     , "Mining and Geological Engineers, Including Mining Safety Engineers"                                , 2.000, agribusiness agricultural extension agriculture horticulture food development biotechnology dry land enterprise nutrition human ecology agroforestry rural agronomy sugar agro processing                                                                              , "BACHELOR OF AGRICULTURAL EDUCATION & EXTENSION | BACHELOR OF SCIENCE (AGRICULTURE) | BACHELOR OF SCIENCE (HORTICULTURE, WITH IT) | BACHELOR OF SCIENCE (FOOD SCIENCE & TECHNOLOGY) | BACHELOR OF SCIENCE (AGRICULTURAL EXTENSION EDUCATION) | BACHELOR OF SCIENCE (AGRICULTURAL BIOTECHNOLOGY) | BACHELOR OF SCIENCE (DRY LAND, AGRICULTURE & ENTERPRISE DEVELOPMENT) | BACHELOR OF EDUCATION (AGRICULTURAL EDUCATION) | BACHELOR OF SCIENCE (FOOD SCIENCE & NUTRITION) | BACHELOR OF SCIENCE (AGRICULTURAL EDUCATION AND EXTENSION)"
agriculture-agribusiness      , Agriculture & Agribusiness      , 19-1011.00     , Animal Scientists                                                                                   , 2.000, agribusiness agricultural extension agriculture horticulture food development biotechnology dry land enterprise nutrition human ecology agroforestry rural agronomy sugar agro processing                                                                              , "BACHELOR OF AGRICULTURAL EDUCATION & EXTENSION | BACHELOR OF SCIENCE (AGRICULTURE) | BACHELOR OF SCIENCE (HORTICULTURE, WITH IT) | BACHELOR OF SCIENCE (FOOD SCIENCE & TECHNOLOGY) | BACHELOR OF SCIENCE (AGRICULTURAL EXTENSION EDUCATION) | BACHELOR OF SCIENCE (AGRICULTURAL BIOTECHNOLOGY) | BACHELOR OF SCIENCE (DRY LAND, AGRICULTURE & ENTERPRISE DEVELOPMENT) | BACHELOR OF EDUCATION (AGRICULTURAL EDUCATION) | BACHELOR OF SCIENCE (FOOD SCIENCE & NUTRITION) | BACHELOR OF SCIENCE (AGRICULTURAL EDUCATION AND EXTENSION)"
