field_slug,field_name,occupation_code,occupation_title,score,keywords,sample_programs
agriculture-agribusiness,Agriculture & Agribusiness,51-3099.00,"Food Processing Workers, All Other",8.000,agribusiness agricultural extension agriculture horticulture food biotechnology dry land enterprise nutrition human ecology agroforestry rural agronomy sugar agro processing,"BACHELOR OF AGRICULTURAL EDUCATION & EXTENSION | BACHELOR OF SCIENCE (AGRICULTURE) | BACHELOR OF SCIENCE (HORTICULTURE, WITH IT) | BACHELOR OF SCIENCE (FOOD SCIENCE & TECHNOLOGY) | BACHELOR OF SCIENCE (AGRICULTURAL EXTENSION EDUCATION) | BACHELOR OF SCIENCE (AGRICULTURAL BIOTECHNOLOGY) | BACHELOR OF SCIENCE (DRY LAND, AGRICULTURE & ENTERPRISE DEVELOPMENT) | BACHELOR OF EDUCATION (AGRICULTURAL EDUCATION) | BACHELOR OF SCIENCE (FOOD SCIENCE & NUTRITION) | BACHELOR OF SCIENCE (AGRICULTURAL EDUCATION AND EXTENSION)"
agriculture-agribusiness,Agriculture & Agribusiness,19-1012.00,Food Scientists and Technologists,6.000,agribusiness agricultural extension agriculture horticulture food biotechnology dry land enterprise nutrition human ecology agroforestry rural agronomy sugar agro processing,"BACHELOR OF AGRICULTURAL EDUCATION & EXTENSION | BACHELOR OF SCIENCE (AGRICULTURE) | BACHELOR OF SCIENCE (HORTICULTURE, WITH IT) | BACHELOR OF SCIENCE (FOOD SCIENCE & TECHNOLOGY) | BACHELOR OF SCIENCE (AGRICULTURAL EXTENSION EDUCATION) | BACHELOR OF SCIENCE (AGRICULTURAL BIOTECHNOLOGY) | BACHELOR OF SCIENCE (DRY LAND, AGRICULTURE & ENTERPRISE DEVELOPMENT) | BACHELOR OF EDUCATION (AGRICULTURAL EDUCATION) | BACHELOR OF SCIENCE (FOOD SCIENCE & NUTRITION) | BACHELOR OF SCIENCE (AGRICULTURAL EDUCATION AND EXTENSION)"
architecture,Architecture,25-1031.00,"Architecture Teachers, Postsecondary",6.000,architecture architectural landscape,BACHELOR OF ARCHITECTURAL STUDIES/BACHELOR OF ARCHITECTURE | BACHELOR OF LANDSCAPE ARCHITECTURE
arts-humanities,Arts & Humanities,25-1121.00,"Art, Drama, and Music Teachers, Postsecondary",9.000,humanities arts psychology counselling criminology security economics sociology international relations theology geography political administration social work environmental kiswahili gender diplomacy literature music mass guidance drama,"BACHELOR OF EDUCATION (ARTS, WITH IT) | BACHELOR OF ARTS (COUNSELLING PSYCHOLOGY) | BACHELOR OF ARTS (CRIMINOLOGY & SECURITY STUDIES) | BACHELOR OF ARTS | BACHELOR OF ARTS (COMMUNITY DEVELOPMENT) | BACHELOR OF ARTS (DEVELOPMENT STUDIES, WITH IT) | BACHELOR OF ARTS (ECONOMICS, WITH IT) | BACHELOR OF ARTS IN THEOLOGY | BACHELOR OF ARTS (GEOGRAPHY) | BACHELOR OF ARTS (POLITICAL SCIENCE & PUBLIC ADMINISTRATION)"
arts-humanities,Arts & Humanities,25-1113.00,"Social Work Teachers, Postsecondary",8.000,humanities arts psychology counselling criminology security economics sociology international relations theology geography political administration social work environmental kiswahili gender diplomacy literature music mass guidance drama,"BACHELOR OF EDUCATION (ARTS, WITH IT) | BACHELOR OF ARTS (COUNSELLING PSYCHOLOGY) | BACHELOR OF ARTS (CRIMINOLOGY & SECURITY STUDIES) | BACHELOR OF ARTS | BACHELOR OF ARTS (COMMUNITY DEVELOPMENT) | BACHELOR OF ARTS (DEVELOPMENT STUDIES, WITH IT) | BACHELOR OF ARTS (ECONOMICS, WITH IT) | BACHELOR OF ARTS IN THEOLOGY | BACHELOR OF ARTS (GEOGRAPHY) | BACHELOR OF ARTS (POLITICAL SCIENCE & PUBLIC ADMINISTRATION)"
arts-humanities,Arts & Humanities,21-1093.00,Social and Human Service Assistants,6.000,humanities arts psychology counselling criminology security economics sociology international relations theology geography political administration social work environmental kiswahili gender diplomacy literature music mass guidance drama,"BACHELOR OF EDUCATION (ARTS, WITH IT) | BACHELOR OF ARTS (COUNSELLING PSYCHOLOGY) | BACHELOR OF ARTS (CRIMINOLOGY & SECURITY STUDIES) | BACHELOR OF ARTS | BACHELOR OF ARTS (COMMUNITY DEVELOPMENT) | BACHELOR OF ARTS (DEVELOPMENT STUDIES, WITH IT) | BACHELOR OF ARTS (ECONOMICS, WITH IT) | BACHELOR OF ARTS IN THEOLOGY | BACHELOR OF ARTS (GEOGRAPHY) | BACHELOR OF ARTS (POLITICAL SCIENCE & PUBLIC ADMINISTRATION)"
arts-humanities,Arts & Humanities,25-1065.00,"Political Science Teachers, Postsecondary",6.000,humanities arts psychology counselling criminology security economics sociology international relations theology geography political administration social work environmental kiswahili gender diplomacy literature music mass guidance drama,"BACHELOR OF EDUCATION (ARTS, WITH IT) | BACHELOR OF ARTS (COUNSELLING PSYCHOLOGY) | BACHELOR OF ARTS (CRIMINOLOGY & SECURITY STUDIES) | BACHELOR OF ARTS | BACHELOR OF ARTS (COMMUNITY DEVELOPMENT) | BACHELOR OF ARTS (DEVELOPMENT STUDIES, WITH IT) | BACHELOR OF ARTS (ECONOMICS, WITH IT) | BACHELOR OF ARTS IN THEOLOGY | BACHELOR OF ARTS (GEOGRAPHY) | BACHELOR OF ARTS (POLITICAL SCIENCE & PUBLIC ADMINISTRATION)"
built-environment-construction,Built Environment & Construction,11-9141.00,"Property, Real Estate, and Community Association Managers",8.000,environment built building construction quantity surveying real estate urban regional,BACHELOR OF TECHNOLOGY (BUILDING CONSTRUCTION) | BACHELOR OF QUANTITY SURVEYING | BACHELOR OF REAL ESTATE | BACHELOR OF URBAN AND REGIONAL PLANNING
built-environment-construction,Built Environment & Construction,13-2023.00,Appraisers and Assessors of Real Estate,8.000,environment built building construction quantity surveying real estate urban regional,BACHELOR OF TECHNOLOGY (BUILDING CONSTRUCTION) | BACHELOR OF QUANTITY SURVEYING | BACHELOR OF REAL ESTATE | BACHELOR OF URBAN AND REGIONAL PLANNING
built-environment-construction,Built Environment & Construction,41-9021.00,Real Estate Brokers,8.000,environment built building construction quantity surveying real estate urban regional,BACHELOR OF TECHNOLOGY (BUILDING CONSTRUCTION) | BACHELOR OF QUANTITY SURVEYING | BACHELOR OF REAL ESTATE | BACHELOR OF URBAN AND REGIONAL PLANNING
