institution_code,name,name_contains,alias,website
1053,JARAMOGI OGINGA ODINGA UNIVERSITY OF SCIENCE AND TECHNOLOGY,,JOOUST,https://www.jooust.ac.ke
1057,EGERTON UNIVERSITY,,EU,https://www.egerton.ac.ke
1060,RIARA UNIVERSITY,,RU,https://riarauniversity.ac.ke
1061,KABARAK UNIVERSITY,,KABU,https://kabarak.ac.ke
1063,TECHNICAL UNIVERSITY OF MOMBASA,,TUM,https://www.tum.ac.ke
1066,MANAGEMENT UNIVERSITY OF AFRICA,,MUA,https://mua.ac.ke
1068,PAN AFRICA CHRISTIAN UNIVERSITY,,PACU,https://www.pacuniversity.ac.ke
1073,RONGO UNIVERSITY,,RU,https://www.rongovarsity.ac.ke
1077,KENYA METHODIST UNIVERSITY,,KEMU,https://kemu.ac.ke
1078,AFRICA NAZARENE UNIVERSITY,,ANU,https://www.anu.ac.ke
1079,KIRINYAGA UNIVERSITY,,KU,
1080,CO-OPERATIVE UNIVERSITY OF KENYA,,COUK,
1082,MASINDE MULIRO UNIVERSITY OF SCIENCE & TECHNOLOGY,,MMUS&T,
1087,KISII UNIVERSITY,,KU,https://kisiiuniversity.ac.ke
1088,GRETSA UNIVERSITY,,GU,https://gretsauniversity.ac.ke
1090,SCOTT CHRISTIAN UNIVERSITY,,SCU,https://scott.ac.ke
1091,TAITA TAVETA UNIVERSITY,,TTU,https://www.ttu.ac.ke
1093,UNIVERSITY OF EMBU,,UE,https://embuni.ac.ke
1096,GARISSA UNIVERSITY,,GU,
1103,KCA UNIVERSITY,,KCAU,https://www.kcau.ac.ke
1105,CHUKA UNIVERSITY,,CU,https://www.chuka.ac.ke
1107,ST PAULS UNIVERSITY,,SPU,https://www.spu.ac.ke
1108,KIBABII UNIVERSITY,,KIBU,https://kibu.ac.ke
1111,KENYATTA UNIVERSITY,,KU,https://www.ku.ac.ke
1112,TECHNICAL UNIVERSITY OF KENYA,,TUK,https://tukenya.ac.ke
1114,UNIVERSITY OF ELDORET,,UOELD,https://www.uoeld.ac.ke
1116,UZIMA UNIVERSITY,,UU,https://uzimauniversity.ac.ke
1117,PWANI UNIVERSITY,,PU,
1118,UNIVERSITY OF KABIANGA,,UK,http://www.kabianga.ac.ke
1119,AFRICA INTERNATIONAL UNIVERSITY,,AIU,https://www.aiu.ac.ke
1162,DAYSTAR UNIVERSITY,,DU,
1164,MULTIMEDIA UNIVERSITY OF KENYA,,MUK,
1165,MAASAI MARA UNIVERSITY,,MMU,
1166,SOUTH EASTERN KENYA UNIVERSITY,,SEKU,
1169,KENYA HIGHLANDS EVANGELICAL UNIVERSITY,,KHU,https://khu.ac.ke
1170,MACHAKOS UNIVERSITY,,MU,
1173,DEDAN KIMATHI UNIVERSITY OF TECHNOLOGY,,DEKUT,https://www.dkut.ac.ke
1176,LAIKIPIA UNIVERSITY,,LU,https://laikipia.ac.ke
1181,"UNIVERSITY OF EASTERN AFRICA, BARATON",,UEAB,https://ueab.ac.ke
1192,GREAT LAKES UNIVERSITY OF KISUMU,,GLUK,https://www.gluk.ac.ke
1196,PRESBYTERIAN UNIVERSITY OF EAST AFRICA,,PUEA,https://puea.ac.ke
1225,INTERNATIONAL LEADERSHIP UNIVERSITY,,ILU,https://kenya.ilu.edu
1229,MASENO UNIVERSITY,,MU,https://www.maseno.ac.ke
1240,MERU UNIVERSITY OF SCIENCE AND TECHNOLOGY,,MUST,
1244,KARATINA UNIVERSITY,,KARU,https://karu.ac.ke
1246,MURANG'A UNIVERSITY OF TECHNOLOGY,,MUT,https://www.mut.ac.ke
1249,JOMO KENYATTA UNIVERSITY OF AGRICULTURE AND TECHNOLOGY,,JKUAT,https://www.jkuat.ac.ke
1253,MOI UNIVERSITY,,MU,https://www.mu.ac.ke
1263,UNIVERSITY OF NAIROBI,,UON,https://www.uonbi.ac.ke
1279,MOUNT KENYA UNIVERSITY,,MKU,https://www.mku.ac.ke
1425,ZETECH UNIVERSITY,,ZU,https://www.zetech.ac.ke
1460,KIRIRI WOMENS UNIVERSITY OF SCIENCE AND TECHNOLOGY,,KWUST,https://kwust.ac.ke
1470,KAIMOSI FRIENDS UNIVERSITY,,KAFU,https://kafu.ac.ke
1475,TANGAZA UNIVERSITY,,TU,https://tangaza.ac.ke
1480,CATHOLIC UNIVERSITY OF EASTERN AFRICA,,CUEA,https://www.cuea.edu
1495,LUKENYA UNIVERSITY,,LU,https://lukenyauniversity.ac.ke
1500,THE EAST AFRICAN UNIVERSITY,,TEAU,https://teau.ac.ke
1515,TOM MBOYA UNIVERSITY,,TMU,https://tmu.ac.ke
1530,MARIST INTERNATIONAL UNIVERSITY COLLEGE,,MIUC,https://www.miuc.ac.ke
1555,KENYA ASSEMBLIES OF GOD EAST UNIVERSITY,,KAGEU,
1570,TURKANA UNIVERSITY COLLEGE,,TUC,https://tuc.ac.ke
1580,KENYATTA UNIVERSITY - MAMA NGINA UNIVERSITY COLLEGE,,KU,https://www.ku.ac.ke
1600,ALUPE UNIVERSITY,,AU,https://au.ac.ke
1685,THARAKA UNIVERSITY,,TU,
1700,BOMET UNIVERSITY COLLEGE,,BUC,
3890,KOITALEEL SAMOEI UNIVERSITY COLLEGE,,KSUC,https://ksu.ac.ke
3895,ISLAMIC UNIVERSITY OF KENYA,,IUK,https://iuk.ac.ke
4275,AMREF INTERNATIONAL UNIVERSITY,,AMIU,https://amref.ac.ke
5145,OPEN UNIVERSITY OF KENYA,,OUK,https://ouk.ac.ke
