source_index,institution_name,original_code,corrected_code,reason,program_header
3,JOMO KENYATTA UNIVERSITY OF AGRICULTURE AND TECHNOLOGY,1249564,1249102,block_suffix_mode,BACHELOR OF ARCHITECTURAL STUDIES/BACHELOR OF ARCHITECTURE
30,CO-OPERATIVE UNIVERSITY OF KENYA,1080309,1080115,block_suffix_mode,BACHELOR OF SCIENCE (COMPUTER SCIENCE
4,UZIMA UNIVERSITY,1116281,1116123,block_suffix_mode,BACHELOR OF SCIENCE (MICROBIOLOGY)
39,THE EAST AFRICAN UNIVERSITY,1500494,1500135,block_suffix_mode,"BACHELOR OF EDUCATION (ARTS, WITH IT)"
55,DAYSTAR UNIVERSITY,1162137,1162135,block_suffix_mode,"BACHELOR OF EDUCATION (ARTS, WITH IT)"
56,KIRINYAGA UNIVERSITY,1079494,1079135,block_suffix_mode,"BACHELOR OF EDUCATION (ARTS, WITH IT)"
9,CHUKA UNIVERSITY,1105233,1105150,block_suffix_mode,BACHELOR OF SCIENCE (INFORMATION SCIENCE)
5,CHUKA UNIVERSITY,1105222,1105157,block_suffix_mode,BACHELOR OF SCIENCE (TOURISM MANAGEMENT)
8,KIBABII UNIVERSITY,1108880,1108180,block_suffix_mode,BACHELOR OF EDUCATION (EARLY CHILDHOOD DEVELOPMENT)
5,CHUKA UNIVERSITY,1105385,1105181,block_suffix_mode,BACHELOR OF JOURNALISM & MASS COMMUNICATION
2,KENYATTA UNIVERSITY,1111587,1111187,block_suffix_mode,BACHELOR OF SCIENCE (AGRI BUSINESS MANAGEMENT)
2,DEDAN KIMATHI UNIVERSITY OF TECHNOLOGY,1173190,1173202,block_suffix_mode,BACHELOR OF SCIENCE IN NUTRITION AND DIETETICS
3,MACHAKOS UNIVERSITY,1170228,1170213,block_suffix_mode,BACHELOR OF ENVIRONMENTAL SCIENCE
17,MOI UNIVERSITY,1253229,1253213,block_suffix_mode,BACHELOR OF ENVIRONMENTAL SCIENCE
3,PWANI UNIVERSITY,1117224,1117221,block_suffix_mode,BACHELOR OF HOSPITALITY AND TOURISM MANAGEMENT
11,MASINDE MULIRO UNIVERSITY OF SCIENCE & TECHNOLOGY,1082427,1082221,block_suffix_mode,BACHELOR OF HOSPITALITY AND TOURISM MANAGEMENT
3,KISII UNIVERSITY,1087387,1087222,block_suffix_mode,BACHELOR OF HOTEL & HOSPITALITY MANAGEMENT
8,TECHNICAL UNIVERSITY OF KENYA,1112633,1112233,block_suffix_mode,BACHELOR OF LIBRARY & INFORMATION SCIENCE
