code,name,alias,region,county,country,website
1053,JARAMOGI OGINGA ODINGA UNIVERSITY OF SCIENCE AND TECHNOLOGY,JOOUST,Nyanza,Siaya,Kenya,https://www.jooust.ac.ke
1057,EGERTON UNIVERSITY,EU,Rift Valley,Nakuru,Kenya,https://www.egerton.ac.ke
1060,RIARA UNIVERSITY,RU,Nairobi,Nairobi,Kenya,https://riarauniversity.ac.ke
1061,KABARAK UNIVERSITY,KABU,Rift Valley,Nakuru,Kenya,https://kabarak.ac.ke
1063,TECHNICAL UNIVERSITY OF MOMBASA,TUM,Coast,Mombasa,Kenya,https://www.tum.ac.ke
1066,MANAGEMENT UNIVERSITY OF AFRICA,MUA,Nairobi,Nairobi,Kenya,https://mua.ac.ke
1068,PAN AFRICA CHRISTIAN UNIVERSITY,PACU,Nairobi,Nairobi,Kenya,https://www.pacuniversity.ac.ke
1073,RONGO UNIVERSITY,RU,Nyanza,Migori,Kenya,https://www.rongovarsity.ac.ke
1077,KENYA METHODIST UNIVERSITY,KEMU,Eastern,Meru,Kenya,https://kemu.ac.ke
1078,AFRICA NAZARENE UNIVERSITY,ANU,Rift Valley,Kajiado,Kenya,https://www.anu.ac.ke
1079,KIRINYAGA UNIVERSITY,KU,Central,Kirinyaga,Kenya,
1080,CO-OPERATIVE UNIVERSITY OF KENYA,COUK,Nairobi,Nairobi,Kenya,
1082,MASINDE MULIRO UNIVERSITY OF SCIENCE & TECHNOLOGY,MMUS&T,Western,Kakamega,Kenya,
1087,KISII UNIVERSITY,KU,Nyanza,Kisii,Kenya,https://kisiiuniversity.ac.ke
1088,GRETSA UNIVERSITY,GU,Central,Kiambu,Kenya,https://gretsauniversity.ac.ke
1090,SCOTT CHRISTIAN UNIVERSITY,SCU,Eastern,Machakos,Kenya,https://scott.ac.ke
1091,TAITA TAVETA UNIVERSITY,TTU,Coast,Taita Taveta,Kenya,https://www.ttu.ac.ke
1093,UNIVERSITY OF EMBU,UE,Eastern,Embu,Kenya,https://embuni.ac.ke
1096,GARISSA UNIVERSITY,GU,North Eastern,Garissa,Kenya,
1103,KCA UNIVERSITY,KCAU,Nairobi,Nairobi,Kenya,https://www.kcau.ac.ke
1105,CHUKA UNIVERSITY,CU,Eastern,Tharaka-Nithi,Kenya,https://www.chuka.ac.ke
1107,ST PAULS UNIVERSITY,SPU,Central,Kiambu,Kenya,https://www.spu.ac.ke
1108,KIBABII UNIVERSITY,KIBU,Western,Bungoma,Kenya,https://kibu.ac.ke
