program_normalized_name	course_suffix	offerings_count
BA IN BIBLICAL STUDIES	252	1
BA IN CHURCH EDUCATIONAL MINISTRIES	253	1
BA IN INTER-CULTURAL STUDIES	254	1
BACHELOR IN BUSINESS ADMINISTRATION	153	14
BACHELOR OF ACCOUNTANCY AND FINANCIAL MANAGEMENT	469	3
BACHELOR OF ACTUARIAL SCIENCE	107	30
BACHELOR OF AGRI TECHNOLOGY AND FOOD SYSTEMS	524	1
BACHELOR OF AGRIBUSINESS MANAGEMENT	257	5
BACHELOR OF AGRICULTURAL EDUCATION & EXTENSION	417	18
BACHELOR OF ANIMATION AND GRAPHICS DESIGN	447	1
BACHELOR OF APPLIED COMMUNICATION	497	2
BACHELOR OF APPLIED SCIENCE (GEO-INFORMATICS)	553	1
BACHELOR OF ARCHITECTURAL STUDIES/BACHELOR OF ARCHITECTURE	102	5
BACHELOR OF ARTS	101	16
BACHELOR OF ARTS ( KISWAHILI AND COMMUNICATION)	325	3
BACHELOR OF ARTS ( POLITICAL SCIENCE, WITH IT)	551	2
BACHELOR OF ARTS (ANTHROPOLOGY)	106	3
BACHELOR OF ARTS (BUSINESS STUDIES, WITH IT)	586	1
BACHELOR OF ARTS (COMMUNICATION & MEDIA TECHNOLOGY, WITH IT)	385	4
BACHELOR OF ARTS (COMMUNITY DEVELOPMENT)	171	15
BACHELOR OF ARTS (COUNSELING)	337	1
BACHELOR OF ARTS (COUNSELLING PSYCHOLOGY)	337	21
BACHELOR OF ARTS (CRIMINOLOGY & SECURITY STUDIES)	136	19
BACHELOR OF ARTS (DESIGN)	105	1
BACHELOR OF ARTS (DEVELOPMENT STUDIES, WITH IT)	303	14
BACHELOR OF ARTS (DISASTER MANAGEMENT AND PEACE STUDIES)	369	1
BACHELOR OF ARTS (DISASTER MANAGEMENT, WITH IT)	544	1
BACHELOR OF ARTS (DRAMA AND THEATRE STUDIES, WITH IT)	179	4
BACHELOR OF ARTS (ECONOMICS & SOCIOLOGY)	198	4
BACHELOR OF ARTS (ECONOMICS, WITH IT)	646	13
BACHELOR OF ARTS (ENGLISH & COMMUNICATION)	583	1
BACHELOR OF ARTS (FINE ART, WITH IT)	509	2
BACHELOR OF ARTS (FRENCH)	262	1
BACHELOR OF ARTS (FRENCH)	362	1
BACHELOR OF ARTS (FRENCH)	762	1
BACHELOR OF ARTS (FRENCH, WITH IT)	970	1
BACHELOR OF ARTS (GENDER AND DEVELOPMENT STUDIES)	302	5
BACHELOR OF ARTS (GENDER, WOMEN AND DEVELOPMENT STUDIES)	304	2
BACHELOR OF ARTS (GEOGRAPHY)	292	10
BACHELOR OF ARTS (GERMAN)	363	1
BACHELOR OF ARTS (GERMAN)	763	1
BACHELOR OF ARTS (HISTORY & ECONOMICS)	342	2
BACHELOR OF ARTS (HISTORY AND ARCHAEOLOGY, WITH IT)	523	2
BACHELOR OF ARTS (HISTORY)	522	4
BACHELOR OF ARTS (HUMAN RIGHTS)	581	2
BACHELOR OF ARTS (INTERNATIONAL RELATIONS AND DIPLOMACY ,WITH IT)	295	5
BACHELOR OF ARTS (KISWAHILI, WITH IT)	324	6
BACHELOR OF ARTS (LANGUAGE AND COMMUNICATION, WITH IT)	621	4
BACHELOR OF ARTS (LINGUISTIC)	520	2
BACHELOR OF ARTS (LITERATURE, WITH IT)	524	4
BACHELOR OF ARTS (MUSIC, WITH IT)	161	5
BACHELOR OF ARTS (PENOLOGY, CORRECTION AND ADMINISTRATION)	598	2
BACHELOR OF ARTS (PHILOSOPHY)	585	1
BACHELOR OF ARTS (PLANNING)	165	1
BACHELOR OF ARTS (POLITICAL SCIENCE & PUBLIC ADMINISTRATION)	550	8
BACHELOR OF ARTS (PSYCHOLOGY)	237	7
BACHELOR OF ARTS (PUBLIC ADMINISTRATION)	159	3
BACHELOR OF ARTS (RELIGION, WITH IT)	443	1
BACHELOR OF ARTS (RELIGIOUS STUDIES)	445	4
BACHELOR OF ARTS (SOCIAL WORK)	144	7
BACHELOR OF ARTS (SOCIOLOGY & RELIGIOUS STUDIES)	587	1
BACHELOR OF ARTS (SOCIOLOGY & RELIGIOUS STUDIES)	787	1
BACHELOR OF ARTS (SOCIOLOGY AND ANTHROPOLOGY, WITH IT)	606	2
BACHELOR OF ARTS (SOCIOLOGY)	806	8
BACHELOR OF ARTS (URBAN AND REGIONAL PLANNING, WITH IT)	765	1
BACHELOR OF ARTS (WITH EDUCATION)	201	3
BACHELOR OF ARTS IN ARABIC LANGUAGE	667	1
BACHELOR OF ARTS IN CHAPLAINCY	181	1
BACHELOR OF ARTS IN CHILD AND YOUTH STUDIES	322	2
BACHELOR OF ARTS IN COMMUNICATION	620	3
BACHELOR OF ARTS IN COMMUNICATION AND MEDIA STUDIES	431	1
BACHELOR OF ARTS IN ENGLISH	602	1
BACHELOR OF ARTS IN ENGLISH AND LINGUISTICS	225	1
BACHELOR OF ARTS IN ENGLISH AND LINGUISTICS	725	1
BACHELOR OF ARTS IN ENVIRONMENTAL PLANNING AND MANAGEMENT	312	7
BACHELOR OF ARTS IN HISTORY & INTERNATIONAL STUDIES	622	1
BACHELOR OF ARTS IN HUMAN RESOURCE MANAGEMENT	430	1
BACHELOR OF ARTS IN INTERNATIONAL RELATIONS	296	7
BACHELOR OF ARTS IN ISLAMIC SHARIA	642	1
BACHELOR OF ARTS IN ISLAMIC STUDIES	630	1
BACHELOR OF ARTS IN JOURNALISM AND DIGITAL MEDIA	649	3
BACHELOR OF ARTS IN KISWAHILI AND GEOGRAPHY	572	1
BACHELOR OF ARTS IN LANGUAGE AND COMMUNICATION	393	1
BACHELOR OF ARTS IN LEADERSHIP AND MANAGEMENT	448	6
BACHELOR OF ARTS IN LITERATURE, THEATRE AND FILM	394	1
BACHELOR OF ARTS IN MASS COMMUNICATION	242	5
BACHELOR OF ARTS IN MASS MEDIA AND COMMUNICATION	604	2
BACHELOR OF ARTS IN PEACE AND CONFLICT TRANSFORMATION	662	3
BACHELOR OF ARTS IN PEACE STUDIES AND CONFLICT RESOLUTION	669	2
BACHELOR OF ARTS IN PHILOSOPHY	392	4
BACHELOR OF ARTS IN PUBLIC ADMINISTRATION	670	1
BACHELOR OF ARTS IN PUBLIC ADMINISTRATION AND GOVERNANCE	671	2
BACHELOR OF ARTS IN SECURITY STUDIES AND CRIMINOLOGY	672	2
BACHELOR OF ARTS IN SOCIAL COMMUNICATION	323	1
BACHELOR OF ARTS IN SOCIAL WORK	127	1
BACHELOR OF ARTS IN SOCIAL WORK	427	1
BACHELOR OF ARTS IN SUSTAINABLE HUMAN DEVELOPMENT	321	1
BACHELOR OF ARTS IN THEOLOGY	446	11
BACHELOR OF ARTS IN TRANSLATION STUDIES	577	1
BACHELOR OF ARTS INTERIOR DESIGN	317	2
BACHELOR OF ARTS(SPATIAL PLANNING)	485	2
BACHELOR OF BROADCAST JOURNALISM	177	1
BACHELOR OF BUSINESS ADMINISTRATION AND MANAGEMENT	168	1
BACHELOR OF BUSINESS ADMINISTRATION IN FINANCE	182	1
BACHELOR OF BUSINESS AND INFORMATION TECHNOLOGY	206	5
BACHELOR OF BUSINESS AND MANAGEMENT	151	20
BACHELOR OF BUSINESS AND OFFICE MANAGEMENT	154	2
BACHELOR OF BUSINESS INFORMATION AND MANAGEMENT	651	1
BACHELOR OF BUSINESS INFORMATION TECHNOLOGY	244	21
BACHELOR OF BUSINESS LEADERSHIP	447	1
BACHELOR OF BUSINESS MANAGEMENT (CIVIL AVIATION MANAGEMENT)	490	1
BACHELOR OF BUSINESS MANAGEMENT (MARINE BUSINESS MANAGEMENT)	496	1
BACHELOR OF BUSINESS MANAGEMENT AND INFORMATION TECHNOLOGY	301	1
BACHELOR OF CHRISTIAN EDUCATION	653	1
BACHELOR OF CO-OPERATIVE BUSINESS	610	1
BACHELOR OF CO-OPERATIVE MANAGEMENT	510	5
BACHELOR OF COMMERCE	133	46
BACHELOR OF COMMERCE IN MANAGEMENT INFORMATION SYSTEMS	433	1
BACHELOR OF COMMUNICATION & JOURNALISM	182	5
BACHELOR OF COMMUNICATION & PUBLIC RELATIONS	451	1
BACHELOR OF COMMUNICATION AND MEDIA STUDIES	449	3
BACHELOR OF COMMUNICATION AND PUBLIC RELATIONS	450	8
BACHELOR OF CONFLICT RESOLUTION AND HUMANITAIRAN ASSISTANCE	595	2
BACHELOR OF CONSTRUCTION MANAGEMENT	176	2
BACHELOR OF COUNSELING PSYCHOLOGY	674	2
BACHELOR OF DENTAL SURGERY	128	2
BACHELOR OF DISASTER MANAGEMENT & INTERNATIONAL DIPLOMACY	644	2
BACHELOR OF ECONOMICS	146	18
BACHELOR OF ECONOMICS & FINANCE	540	11
BACHELOR OF ECONOMICS & STATISTICS	199	14
BACHELOR OF ECONOMICS AND MATHEMATICS	946	1
BACHELOR OF EDUCATION (AGRICULTURAL EDUCATION)	416	1
BACHELOR OF EDUCATION (ARTS - BUSINESS STUDIES)	494	2
BACHELOR OF EDUCATION (ARTS) FINE ART	569	1
BACHELOR OF EDUCATION (ARTS) FRENCH	282	4
