source_index	institution_code	institution_name	field_name	program_code	course_suffix	name	normalized_name	level	campus	region	duration_years	award	mode	subject_requirements_json
1	1057	EGERTON UNIVERSITY	Arts & Humanities	1057101	101	BACHELOR OF ARTS	BACHELOR OF ARTS	bachelor		Rift Valley				
2	1073	RONGO UNIVERSITY	Arts & Humanities	1073101	101	BACHELOR OF ARTS	BACHELOR OF ARTS	bachelor		Nyanza				
3	1087	KISII UNIVERSITY	Arts & Humanities	1087101	101	BACHELOR OF ARTS	BACHELOR OF ARTS	bachelor		Nyanza				
4	1105	CHUKA UNIVERSITY	Arts & Humanities	1105101	101	BACHELOR OF ARTS	BACHELOR OF ARTS	bachelor		Eastern				
5	1111	KENYATTA UNIVERSITY	Arts & Humanities	1111101	101	BACHELOR OF ARTS	BACHELOR OF ARTS	bachelor		Nairobi				
6	1117	PWANI UNIVERSITY	Arts & Humanities	1117101	101	BACHELOR OF ARTS	BACHELOR OF ARTS	bachelor		Coast				
7	1166	SOUTH EASTERN KENYA UNIVERSITY	Arts & Humanities	1166101	101	BACHELOR OF ARTS	BACHELOR OF ARTS	bachelor		Eastern				
8	1170	MACHAKOS UNIVERSITY	Arts & Humanities	1170101	101	BACHELOR OF ARTS	BACHELOR OF ARTS	bachelor		Eastern				
9	1253	MOI UNIVERSITY	Arts & Humanities	1253101	101	BACHELOR OF ARTS	BACHELOR OF ARTS	bachelor		Rift Valley				
10	1263	UNIVERSITY OF NAIROBI	Arts & Humanities	1263101	101	BACHELOR OF ARTS	BACHELOR OF ARTS	bachelor		Nairobi				
11	1685	THARAKA UNIVERSITY	Arts & Humanities	1685101	101	BACHELOR OF ARTS	BACHELOR OF ARTS	bachelor		Eastern				
12	1700	BOMET UNIVERSITY COLLEGE	Arts & Humanities	1700101	101	BACHELOR OF ARTS	BACHELOR OF ARTS	bachelor		Rift Valley				
13	3890	KOITALEEL SAMOEI UNIVERSITY COLLEGE	Arts & Humanities	3890101	101	BACHELOR OF ARTS	BACHELOR OF ARTS	bachelor		Rift Valley				
14	1229	MASENO UNIVERSITY	Arts & Humanities	1229101	101	BACHELOR OF ARTS (WITH IT)	BACHELOR OF ARTS	bachelor		Nyanza				
15	1515	TOM MBOYA UNIVERSITY	Arts & Humanities	1515101	101	BACHELOR OF ARTS (WITH IT)	BACHELOR OF ARTS	bachelor		Nyanza				
16	1164	MULTIMEDIA UNIVERSITY OF KENYA	Arts & Humanities	1164101	101	BACHELOR OF ARTS (PSYCHOLOGY, SOCIOLOGY & POLITICAL SCIENCE)	BACHELOR OF ARTS	bachelor		Nairobi				
