program_normalized_name	institution_code	program_code	year	cutoff	capacity	notes
BACHELOR OF ARTS		1057101	2023	24.188		
BACHELOR OF ARTS		1057101	2022	26.783		
BACHELOR OF ARTS		1073101	2023	24.574		
BACHELOR OF ARTS		1073101	2022	27.808		
BACHELOR OF ARTS		1087101	2023	24.286		
BACHELOR OF ARTS		1087101	2022	26.315		
BACHELOR OF ARTS		1105101	2023	23.714		
BACHELOR OF ARTS		1105101	2022	28.566		
BACHELOR OF ARTS		1111101	2023	24.057		
BACHELOR OF ARTS		1111101	2022	28.578		
BACHELOR OF ARTS		1166101	2023	22.449		
BACHELOR OF ARTS		1166101	2022	24.46		
BACHELOR OF ARTS		1170101	2023	24.666		
BACHELOR OF ARTS		1170101	2022	25.34		
BACHELOR OF ARTS		1253101	2023	23.716		
BACHELOR OF ARTS		1253101	2022	26.127		
BACHELOR OF ARTS		1263101	2023	23.248		
BACHELOR OF ARTS		1263101	2022	26.506		
BACHELOR OF ARTS		1685101	2023	22.449		
BACHELOR OF ARTS		1685101	2022	22.916		
BACHELOR OF ARTS		1700101	2023	22.449		
BACHELOR OF ARTS		1700101	2022	22.916		
BACHELOR OF ARTS		3890101	2023	22.449		
BACHELOR OF ARTS		3890101	2022	22.916		
BACHELOR OF ARTS		1229101	2023	23.721		
BACHELOR OF ARTS		1229101	2022	26.259		
BACHELOR OF ARTS		1515101	2023	23.729		
BACHELOR OF ARTS		1515101	2022	22.916		
BACHELOR OF ARTS		1164101	2023	22.449		
BACHELOR OF ARTS		1164101	2022	26.207		
BACHELOR OF ARCHITECTURAL STUDIES/BACHELOR OF ARCHITECTURE		1063102	2023	38.365		
BACHELOR OF ARCHITECTURAL STUDIES/BACHELOR OF ARCHITECTURE		1063102	2022	40.571		
BACHELOR OF ARCHITECTURAL STUDIES/BACHELOR OF ARCHITECTURE		1112102	2023	41.035		
BACHELOR OF ARCHITECTURAL STUDIES/BACHELOR OF ARCHITECTURE		1112102	2022	41.962		
BACHELOR OF ARCHITECTURAL STUDIES/BACHELOR OF ARCHITECTURE		1249102	2023	41.803		
BACHELOR OF ARCHITECTURAL STUDIES/BACHELOR OF ARCHITECTURE		1249102	2022	42.528		
BACHELOR OF ARCHITECTURAL STUDIES/BACHELOR OF ARCHITECTURE		1263102	2023	42.99		
BACHELOR OF ARCHITECTURAL STUDIES/BACHELOR OF ARCHITECTURE		1263102	2022	43.794		
BACHELOR OF ARCHITECTURAL STUDIES/BACHELOR OF ARCHITECTURE		1111102	2023	41.494		
BACHELOR OF ARCHITECTURAL STUDIES/BACHELOR OF ARCHITECTURE		1111102	2022	42.407		
BACHELOR OF QUANTITY SURVEYING		1112103	2023	38.424		
BACHELOR OF QUANTITY SURVEYING		1112103	2022	40.533		
BACHELOR OF QUANTITY SURVEYING		1249103	2023	39.763		
BACHELOR OF QUANTITY SURVEYING		1249103	2022	41.641		
BACHELOR OF QUANTITY SURVEYING		1263103	2023	40.232		
BACHELOR OF QUANTITY SURVEYING		1263103	2022	40.993		
BACHELOR OF ARTS (DESIGN)		1263105	2023	26.093		
BACHELOR OF ARTS (DESIGN)		1263105	2022	25.961		
BACHELOR OF ARTS (ANTHROPOLOGY)		1263106	2023	22.449		
BACHELOR OF ARTS (ANTHROPOLOGY)		1263106	2022	22.916		
BACHELOR OF ARTS (ANTHROPOLOGY)		1117106	2023	22.449		
BACHELOR OF ARTS (ANTHROPOLOGY)		1117106	2022	22.916		
BACHELOR OF ARTS (ANTHROPOLOGY)		1480106	2023	22.449		
