#	PROG CODE	INSTITUTION NAME	PROGRAMME NAME	CUTOFF - 2023	CUTOFF - 2022	SUBJECT 1	SUBJECT 2	SUBJECT 3	SUBJECT 4
1	1263126	UNIVERSITY OF NAIROBI	BACHELOR OF SCIENCE (MICROPROCESSOR TECHNOLOGY AND INSTRUMENTATION)	15.683	30.773	MAT A(121):C	PHY(232):C	CHE(233):C	
BACHELOR OF SCIENCE (ASTRONOMY AND ASTROPHYSICS)									
1	1263127	UNIVERSITY OF NAIROBI	BACHELOR OF SCIENCE (ASTRONOMY AND ASTROPHYSICS)	15.683	24.019	MAT A(121):C+	PHY(232):C+	GEO(312)/CHE(233):C	
BACHELOR OF DENTAL SURGERY									
1	1253128	MOI UNIVERSITY	BACHELOR OF DENTAL SURGERY	44.502	44.07	BIO(231):B	CHE(233):B	MAT A(121)/PHY(232):B	ENG(101)/KIS(102):B
2	1263128	UNIVERSITY OF NAIROBI	BACHELOR OF DENTAL SURGERY	44.75	44.334	BIO(231):B	CHE(233):B	MAT A(121)/PHY(232):B	ENG(101)/KIS(102):B
BACHELOR OF PHARMACY									
1	1061129	KABARAK UNIVERSITY	BACHELOR OF PHARMACY	41.093	38.341	BIO(231):C+	CHE(233):C+	MAT A(121)/PHY(232):C+	ENG(101)/KIS(102):C+
2	1077129	KENYA METHODIST UNIVERSITY	BACHELOR OF PHARMACY	39.609	34.15	BIO(231):C+	CHE(233):C+	MAT A(121)/PHY(232):C+	ENG(101)/KIS(102):C+
3	1087129	KISII UNIVERSITY	BACHELOR OF PHARMACY	43.111	43.003	BIO(231):C+	CHE(233):C+	MAT A(121)/PHY(232):C+	ENG(101)/KIS(102):C+
4	1111129	KENYATTA UNIVERSITY	BACHELOR OF PHARMACY	44.01	43.541	BIO(231):C+	CHE(233):C+	MAT A(121)/PHY(232):C+	ENG(101)/KIS(102):C+
