#	PROG CODE	INSTITUTION NAME	PROGRAMME NAME	CUTOFF - 2023	CUTOFF - 2022	SUBJECT 1	SUBJECT 2	SUBJECT 3	SUBJECT 4
56	1079494	KIRINYAGA UNIVERSITY	BACHELOR OF EDUCATION ARTS	28.171	26.153	HAG(311)/GEO(312)/CRE(3 13)/IRE(314)/HRE(315)/SEE (316)/ENG(101)/KIS(102)/ MAT A(121)/MAT B(122)/HSC(441)/ARD(442) /CMP(451)/FRE(501)/GER( 502)/ARB(503)/KSL(504)/M UC(511)/ACC(561)/COM(5 62)/BST(565):C+	HAG(311)/GEO(312)/CRE(3 13)/IRE(314)/HRE(315)/SEE( 316)/ENG(101)/KIS(102)/M AT A(121)/MAT B(122)/HSC(441)/ARD(442) /CMP(451)/FRE(501)/GER(5 02)/ARB(503)/KSL(504)/MU C(511)/ACC(561)/COM(562 )/BST(565):C+		
BACHELOR OF ARTS (CRIMINOLOGY & SECURITY STUDIES)									
1	1105136	CHUKA UNIVERSITY	BACHELOR OF ARTS (CRIMINOLOGY & SECURITY STUDIES)	26.631	30.721				
2	1165136	MAASAI MARA UNIVERSITY	BACHELOR OF ARTS (CRIMINOLOGY AND PENOLOGY)	22.449	26.573				
3	1057136	EGERTON UNIVERSITY	BACHELOR OF ARTS (CRIMINOLOGY AND SECURITY STUDIES)	28.019	30.426				
4	1087136	KISII UNIVERSITY	BACHELOR OF ARTS (CRIMINOLOGY AND SECURITY STUDIES)	22.449	27.342				
5	1093136	UNIVERSITY OF EMBU	BACHELOR OF ARTS (CRIMINOLOGY AND SECURITY STUDIES)	22.449	26.443				
6	1176136	LAIKIPIA UNIVERSITY	BACHELOR OF ARTS (CRIMINOLOGY AND SECURITY STUDIES)	22.449	25.44				
7	1685136	THARAKA UNIVERSITY	BACHELOR OF ARTS (CRIMINOLOGY AND SECURITY STUDIES)	22.449	22.916				
8	1229136	MASENO UNIVERSITY	BACHELOR OF ARTS (CRIMINOLOGY, WITH IT)	25.524	30.192				
9	1515136	TOM MBOYA UNIVERSITY	BACHELOR OF ARTS (CRIMINOLOGY, WITH IT)	22.449	24.222				
10	1244136	KARATINA UNIVERSITY	BACHELOR OF ARTS IN CRIMINOLOGY, CRIMINAL JUSTICE AND PUBLIC SAFETY	22.449	26.271				
11	1082136	MASINDE MULIRO UNIVERSITY OF SCIENCE & TECHNOLOGY	BACHELOR OF CRIMINOLOGY	23.602	28.482				
12	1108136	KIBABII UNIVERSITY	BACHELOR OF CRIMINOLOGY	22.449	26.286				
13	1246136	MURANG'A UNIVERSITY OF TECHNOLOGY	BACHELOR OF SCIENCE (CRIMINOLOGY AND SECURITY STUDIES)	22.449	22.916				
14	1078136	AFRICA NAZARENE UNIVERSITY	BACHELOR OF ARTS IN CRIMINAL JUSTICE AND SECURITY MANAGEMENT	22.449	25.041				
15	1107136	ST PAULS UNIVERSITY	BACHELOR OF ARTS IN CRIMINAL JUSTICE AND SECURITY MANAGEMENT	22.449	22.916				
16	1470136	KAIMOSI FRIENDS UNIVERSITY	BACHELOR OF ARTS (CRIMINOLOGY AND CRIMINAL JUSTICE)	22.449	24.62				
17	1570136	TURKANA UNIVERSITY COLLEGE	BACHELOR OF ARTS (CRIMINOLOGY AND CRIMINAL JUSTICE)	22.449	22.916				
18	1077136	KENYA METHODIST UNIVERSITY	BACHELOR OF SCIENCE (CRIMINOLOGY AND SECURITY MANAGEMENT)	22.449	22.916				
19	1103136	KCA UNIVERSITY	BACHELOR OF ARTS IN CRIMINOLOGY	22.449	22.916				
BACHELOR OF EDUCATION (SCIENCE, WITH IT)									
1	1229137	MASENO UNIVERSITY	BACHELOR OF EDUCATION (SCIENCE, WITH IT)	35.041	36.459	BIO(231)/PHY(232)/CHE(23 3)/MAT A(121):C+	BIO(231)/PHY(232)/CHE(23 3)/MAT A(121):C+		
2	1515137	TOM MBOYA UNIVERSITY	BACHELOR OF EDUCATION (SCIENCE, WITH IT)	27.083	23.928	BIO(231)/PHY(232)/CHE(23 3)/MAT A(121):C+	BIO(231)/PHY(232)/CHE(23 3)/MAT A(121):C+		
3	1057137	EGERTON UNIVERSITY	BACHELOR OF EDUCATION (SCIENCE)	35.289	35.282	BIO(231)/PHY(232)/CHE(23 3)/MAT A(121):C+	BIO(231)/PHY(232)/CHE(23 3)/MAT A(121):C+		
4	1061137	KABARAK UNIVERSITY	BACHELOR OF EDUCATION (SCIENCE)	23.662	22.358	BIO(231)/PHY(232)/CHE(23 3)/MAT A(121):C+	BIO(231)/PHY(232)/CHE(23 3)/MAT A(121):C+		
5	1073137	RONGO UNIVERSITY	BACHELOR OF EDUCATION (SCIENCE)	28.565	27.259	BIO(231)/PHY(232)/CHE(23 3)/MAT A(121):C+	BIO(231)/PHY(232)/CHE(23 3)/MAT A(121):C+		
6	1077137	KENYA METHODIST UNIVERSITY	BACHELOR OF EDUCATION (SCIENCE)	24.256	22.358	BIO(231)/PHY(232)/CHE(23 3)/MAT A(121):C+	BIO(231)/PHY(232)/CHE(23 3)/MAT A(121):C+		
7	1082137	MASINDE MULIRO UNIVERSITY OF SCIENCE & TECHNOLOGY	BACHELOR OF EDUCATION (SCIENCE)	32.607	33.962	BIO(231)/PHY(232)/CHE(23 3)/MAT A(121):C+	BIO(231)/PHY(232)/CHE(23 3)/MAT A(121):C+		
8	1087137	KISII UNIVERSITY	BACHELOR OF EDUCATION (SCIENCE)	31.945	32.322	BIO(231)/PHY(232)/CHE(23 3)/MAT A(121):C+	BIO(231)/PHY(232)/CHE(23 3)/MAT A(121):C+		
9	1091137	TAITA TAVETA UNIVERSITY	BACHELOR OF EDUCATION (SCIENCE)	23.842	23.764	BIO(231)/PHY(232)/CHE(23 3)/MAT A(121):C+	BIO(231)/PHY(232)/CHE(23 3)/MAT A(121):C+		
10	1093137	UNIVERSITY OF EMBU	BACHELOR OF EDUCATION (SCIENCE)	31.01	30.482	BIO(231)/PHY(232)/CHE(23 3)/MAT A(121):C+	BIO(231)/PHY(232)/CHE(23 3)/MAT A(121):C+		
11	1096137	GARISSA UNIVERSITY	BACHELOR OF EDUCATION (SCIENCE)	23.419	22.358	BIO(231)/PHY(232)/CHE(23 3)/MAT A(121):C+	BIO(231)/PHY(232)/CHE(23 3)/MAT A(121):C+		
