#	PROG CODE	INSTITUTION NAME	PROGRAMME NAME	CUTOFF - 2023	CUTOFF - 2022	SUBJECT 1	SUBJECT 2	SUBJECT 3	SUBJECT 4
2	1244156	KARATINA UNIVERSITY	BACHELOR OF EDUCATION (ARTS) WITH SPECIAL NEEDS EDUCATION	21.858	23.76	BIO(231)/GSC(237):C+	MAT A(121)/MAT B(122)/PHY(232)/CHE(233)/ GEO(312):C+		
BACHELOR OF SCIENCE (TOURISM MANAGEMENT)									
1	1246157	MURANG'A UNIVERSITY OF TECHNOLOGY	BACHELOR OF SCIENCE (TOURISM MANAGEMENT)	21.375	23.085				
2	1063157	TECHNICAL UNIVERSITY OF MOMBASA	BACHELOR OF SCIENCE IN TOURISM MANAGEMENT	23.801	26.594				
3	1600157	ALUPE UNIVERSITY	BACHELOR OF SCIENCE IN TOURISM MANAGEMENT	-	-				
4	1073157	RONGO UNIVERSITY	BACHELOR OF TOURISM MANAGEMENT	22.806	24.248				
5	1105222	CHUKA UNIVERSITY	BACHELOR OF TOURISM MANAGEMENT	24.284	26.854				
6	1114157	UNIVERSITY OF ELDORET	BACHELOR OF TOURISM MANAGEMENT	23.155	25.923				
7	1118157	UNIVERSITY OF KABIANGA	BACHELOR OF TOURISM MANAGEMENT	21.375	23.184				
8	1165157	MAASAI MARA UNIVERSITY	BACHELOR OF TOURISM MANAGEMENT	25.915	27.905				
9	1244157	KARATINA UNIVERSITY	BACHELOR OF TOURISM MANAGEMENT	21.375	22.836				
10	1253157	MOI UNIVERSITY	BACHELOR OF TOURISM MANAGEMENT	22.394	25.632				
11	1112157	TECHNICAL UNIVERSITY OF KENYA	BACHELOR OF TECHNOLOGY (TOURISM MANAGEMENT)	28.064	31.035				
BACHELOR OF INFORMATION COMMUNICATION TECHNOLOGY									
1	1090158	SCOTT CHRISTIAN UNIVERSITY	BACHELOR OF INFORMATION COMMUNICATION TECHNOLOGY	18.814	18.638	MAT A(121):C	ENG(101)/KIS(102):C		
2	1053158	JARAMOGI OGINGA ODINGA UNIVERSITY OF SCIENCE AND TECHNOLOGY	BACHELOR OF SCIENCE (INFORMATION AND COMMUNICATION TECHNOLOGY)	24.975	22.415	MAT A(121):C	ENG(101)/KIS(102):C		
3	1103158	KCA UNIVERSITY	BACHELOR OF SCIENCE (INFORMATION AND COMMUNICATION TECHNOLOGY)	22.216	18.638	MAT A(121):C	ENG(101)/KIS(102):C		
4	1176158	LAIKIPIA UNIVERSITY	BACHELOR OF SCIENCE (INFORMATION AND COMMUNICATION TECHNOLOGY)	22.972	18.638	MAT A(121):C	ENG(101)/KIS(102):C		
5	1063158	TECHNICAL UNIVERSITY OF MOMBASA	BACHELOR OF TECHNOLOGY IN INFORMATION & COMMUNICATION TECHNOLOGY	26.749	25.451	MAT A(121):C	ENG(101)/KIS(102):C		
6	1229158	MASENO UNIVERSITY	BACHELOR OF SCIENCE (INFORMATION AND COMMUNICATION TECHNOLOGY MANAGEMENT)	28.658	29.767	MAT A(121):C	ENG(101)/KIS(102):C		
BACHELOR OF ARTS (PUBLIC ADMINISTRATION)									
1	1118159	UNIVERSITY OF KABIANGA	BACHELOR OF ARTS (PUBLIC ADMINISTRATION)	22.449	27.264				
2	1170159	MACHAKOS UNIVERSITY	BACHELOR OF ARTS (PUBLIC ADMINISTRATION)	24.352	28.888				
3	1246159	MURANG'A UNIVERSITY OF TECHNOLOGY	BACHELOR OF ARTS (PUBLIC ADMINISTRATION)	22.449	23.907				
BACHELOR OF MUSIC									
1	1111160	KENYATTA UNIVERSITY	BACHELOR OF MUSIC	25.152	29.138	MUC(511):C+			
2	1112160	TECHNICAL UNIVERSITY OF KENYA	BACHELOR OF MUSIC	23.417	26.195	MUC(511):C+			
3	1061160	KABARAK UNIVERSITY	BACHELOR OF MUSIC THEORY AND COMPOSITION	23.417	22.829	MUC(511):C+			
BACHELOR OF ARTS (MUSIC, WITH IT)									
1	1229161	MASENO UNIVERSITY	BACHELOR OF ARTS (MUSIC, WITH IT)	23.417	22.829	MUC(511):C+			
2	1087161	KISII UNIVERSITY	BACHELOR OF ARTS (MUSIC)	23.417	22.829	MUC(511):C+			
3	1162161	DAYSTAR UNIVERSITY	BACHELOR OF ARTS (MUSIC)	23.417	-	MUC(511):C+			
4	1181161	UNIVERSITY OF EASTERN AFRICA, BARATON	BACHELOR OF ARTS (MUSIC)	23.417	22.829	MUC(511):C+			
5	1253161	MOI UNIVERSITY	BACHELOR OF ARTS (MUSIC)	23.417	22.829	MUC(511):C+			
BACHELOR OF EDUCATION (ARTS) MUSIC									
1	1111162	KENYATTA UNIVERSITY	BACHELOR OF EDUCATION (ARTS) MUSIC	27.617	29.441	MUC(511):C+	ENG(101)/KIS(102)/MAT A(121)/MAT B(122)/HAG(311)/GEO(312) /CRE(313)/IRE(314)/HRE(31 5)/SEE(316)/HSC(441)/ARD( 442)/CMP(451)/FRE(501)/G ER(502)/ARB(503)/KSL(504) /MUC(511)/ACC(561)/COM (562)/BST(565):C+		
